
[663, 0.008349398151040077]
[664, 0.01055155973881483]
[665, 0.008055186830461025]
[666, 0.007458314299583435]
[667, 0.00812577921897173]
[668, 0.00708584813401103]
[669, 0.009616801515221596]
[670, 0.008809620514512062]
[671, 0.005612048786133528]
[672, 0.011873858980834484]
[673, 0.007490554358810186]
[674, 0.009729543700814247]
[675, 0.009839258156716824]
[676, 0.009673438034951687]
[677, 0.015514180064201355]
[678, 0.010452786460518837]
[679, 0.012685462832450867]
[680, 0.00831344723701477]
[681, 0.005146992392838001]
[682, 0.007135656662285328]
[683, 0.00822992343455553]
[684, 0.009314742870628834]
[685, 0.013060051016509533]
[686, 0.005958754103630781]
[687, 0.010222611017525196]
[688, 0.00701879570260644]
[689, 0.006778237409889698]
[690, 0.007702580187469721]
[691, 0.009917310439050198]
[692, 0.009838146157562733]
[693, 0.010217401199042797]
[694, 0.021449735388159752]
[695, 0.011826172471046448]
[696, 0.007745227310806513]
[697, 0.008302101865410805]
[698, 0.006703037302941084]
[699, 0.007021528668701649]
[700, 0.01843440532684326]
[701, 0.011177361011505127]
[702, 0.008871075697243214]
[703, 0.013369015417993069]
[704, 0.015339136123657227]
[705, 0.009134018793702126]
[706, 0.009789827279746532]
[707, 0.013891342096030712]
[708, 0.008128932677209377]
[709, 0.007769411895424128]
[710, 0.009158206172287464]
[711, 0.007673096843063831]
[712, 0.00999078806489706]
[713, 0.010569768957793713]
[714, 0.00838231761008501]
[715, 0.006556409876793623]
[716, 0.013873443007469177]
[717, 0.00776582071557641]
[718, 0.0068766954354941845]
[719, 0.010798406787216663]
[720, 0.01307716965675354]
[721, 0.00920657254755497]
[722, 0.008152008056640625]
[723, 0.009046864695847034]
[724, 0.00906574446707964]
[725, 0.00940296333283186]
[726, 0.009380972944200039]
[727, 0.009316525422036648]
[728, 0.011566901579499245]
[729, 0.009369808249175549]
[730, 0.009602690115571022]
[731, 0.008340832777321339]
[732, 0.009279248304665089]
[733, 0.011006004177033901]
[734, 0.009724470786750317]
[735, 0.010452273301780224]
[736, 0.009411963634192944]
[737, 0.006762802600860596]
[738, 0.007384851574897766]
[739, 0.00885599572211504]
[740, 0.00582995405420661]
[741, 0.00749072153121233]
[742, 0.006612885277718306]
[743, 0.008658483624458313]
[744, 0.01168757677078247]
[745, 0.006510767620056868]
[746, 0.01121896505355835]
[747, 0.010517701506614685]
[748, 0.007344311568886042]
[749, 0.009269455447793007]
[750, 0.009702361188828945]
[751, 0.0061810314655303955]
[752, 0.01315795537084341]
[753, 0.008189886808395386]
[754, 0.007609057705849409]
[755, 0.00796364527195692]
[756, 0.008039712905883789]
[757, 0.010800785385072231]
[758, 0.008210576139390469]
[759, 0.013308140449225903]
[760, 0.008903863839805126]
[761, 0.011827776208519936]
[762, 0.010844796895980835]
[763, 0.006910502910614014]
[764, 0.008217048831284046]
[765, 0.006795540452003479]
[766, 0.008762425743043423]
[767, 0.006175142712891102]
[768, 0.005889719817787409]
[769, 0.007280686404556036]
[770, 0.00668342737480998]
[771, 0.010249507613480091]
[772, 0.009233555756509304]
[773, 0.007833406329154968]
[774, 0.007835236378014088]
[775, 0.007452473044395447]
[776, 0.010320949368178844]
[777, 0.007394847460091114]
[778, 0.008136311545968056]
[779, 0.008176756091415882]
[780, 0.0126608582213521]
[781, 0.005531233735382557]
[782, 0.007780659478157759]
[783, 0.008278349414467812]
[784, 0.01074125524610281]
[785, 0.007191154640167952]
[786, 0.009120166301727295]
[787, 0.006152528803795576]
[788, 0.007830175571143627]
[789, 0.00985768437385559]
[790, 0.008421802893280983]
[791, 0.007047030609101057]
[792, 0.010408610105514526]
[793, 0.00729634752497077]
[794, 0.008511331863701344]
[795, 0.010607552714645863]
[796, 0.008437097072601318]
[797, 0.0066408696584403515]
[798, 0.007430604193359613]
[799, 0.008259988389909267]
[800, 0.008935910649597645]
[801, 0.0078007071278989315]
[802, 0.00961679220199585]
[803, 0.009228494949638844]
[804, 0.006726688239723444]
[805, 0.008278864435851574]
[806, 0.011953184381127357]
[807, 0.008417236618697643]
[808, 0.006890454795211554]
[809, 0.005791798233985901]
[810, 0.010007554665207863]
[811, 0.0067065986804664135]
[812, 0.009472581557929516]
[813, 0.006497782655060291]
[814, 0.0074995579198002815]
[815, 0.00978075247257948]
[816, 0.010168761014938354]
[817, 0.006165316794067621]
[818, 0.007200393360108137]
[819, 0.009725269861519337]
[820, 0.009668710641562939]
[821, 0.008335125632584095]
[822, 0.011510741896927357]
[823, 0.00938344281166792]
[824, 0.012538308277726173]
[825, 0.007628613617271185]
[826, 0.015308436937630177]
[827, 0.010829183273017406]
[828, 0.011505946516990662]
[829, 0.01375291682779789]
[830, 0.009154388681054115]
[831, 0.011098334565758705]
[832, 0.006974124815315008]
[833, 0.007676306646317244]
[834, 0.009346581064164639]
[835, 0.009297114796936512]
[836, 0.006940600462257862]
[837, 0.009062475524842739]
[838, 0.007651484105736017]
[839, 0.005781951826065779]
[840, 0.006217384245246649]
[841, 0.00921722687780857]
[842, 0.014789193868637085]
[843, 0.009895565919578075]
[844, 0.007784423418343067]
[845, 0.010893428698182106]
[846, 0.01173341553658247]
[847, 0.009736123494803905]
[848, 0.009914583526551723]
[849, 0.010846897959709167]
[850, 0.013481405563652515]
[851, 0.006834924221038818]
[852, 0.008318361826241016]
[853, 0.008502820506691933]
[854, 0.007146197836846113]
[855, 0.00463821878656745]
[856, 0.006362816784530878]
[857, 0.007426414173096418]
[858, 0.008967417292296886]
[859, 0.00814580637961626]
[860, 0.00835829135030508]
