[323, 1.1227277517318726]
[324, 1.0477992296218872]
[325, 0.6553495526313782]
[326, 1.046082854270935]
[327, 1.0944948196411133]
[328, 0.9319584965705872]
[329, 1.0994017124176025]
[330, 0.9495540857315063]
[331, 1.0760958194732666]
[332, 1.1303893327713013]
[333, 1.2841061353683472]
[334, 1.0402119159698486]
[335, 1.034976601600647]
[336, 1.0201627016067505]
[337, 1.1625518798828125]
[338, 1.1269830465316772]
[339, 1.1525461673736572]
[340, 1.0181642770767212]
[341, 0.959341824054718]
[342, 1.1093733310699463]
[343, 1.0359653234481812]
[344, 1.252160668373108]
[345, 1.123423457145691]
[346, 1.1174787282943726]
[347, 1.1129451990127563]
[348, 1.016373634338379]
[349, 1.1310828924179077]
[350, 0.9602522253990173]
[351, 1.1551522016525269]
[352, 0.7185999751091003]
[353, 1.2264379262924194]
[354, 1.2461358308792114]
[355, 1.168341040611267]
[356, 0.801719605922699]
[357, 0.6815608143806458]
[358, 1.0872880220413208]
[359, 1.1444647312164307]
[360, 0.8513808250427246]
[361, 1.1068689823150635]
[362, 1.2311289310455322]
[363, 0.92385333776474]
[364, 1.1568940877914429]
[365, 0.9560951590538025]
[366, 1.1008933782577515]
[367, 0.9107229113578796]
[368, 1.1913975477218628]
[369, 1.2795318365097046]
[370, 0.7851938605308533]
[371, 1.0420931577682495]
[372, 1.072792649269104]
[373, 0.9653579592704773]
[374, 1.1544932126998901]
[375, 0.7749659419059753]
[376, 0.9550234079360962]
[377, 0.9634897112846375]
[378, 1.1539894342422485]
[379, 0.9719356894493103]
[380, 1.2489187717437744]
[381, 0.8822334408760071]
[382, 1.1201977729797363]
[383, 1.084368109703064]
[384, 0.951167106628418]
[385, 1.0449249744415283]
[386, 1.1248835325241089]
[387, 1.1498011350631714]
[388, 1.1387373208999634]
[389, 1.2557651996612549]
[390, 1.211694598197937]
[391, 1.0595985651016235]
[392, 0.8710565567016602]
[393, 0.910957932472229]
[394, 0.8454150557518005]
[395, 1.258694052696228]
[396, 0.9090916514396667]
[397, 1.377091646194458]
[398, 1.0030012130737305]
[399, 1.2632322311401367]
[400, 0.8776664733886719]
[401, 1.2729490995407104]
[402, 1.1158490180969238]
[403, 1.1891229152679443]
[404, 1.2604618072509766]
[405, 1.3741282224655151]
[406, 1.2165863513946533]
[407, 0.9441394209861755]
[408, 1.2002800703048706]
[409, 1.160889744758606]
[410, 1.344338297843933]
[411, 1.4966986179351807]
[412, 1.1130179166793823]
[413, 1.3389486074447632]
[414, 0.9116513133049011]
[415, 1.223947525024414]
[416, 1.0123043060302734]
[417, 1.0167773962020874]
[418, 1.1331039667129517]
[419, 0.7573274970054626]
[420, 1.0674129724502563]
[421, 0.9437426924705505]
[422, 0.8741070032119751]
[423, 1.0169588327407837]
[424, 1.0345525741577148]
[425, 1.2939947843551636]
[426, 0.916468620300293]
[427, 1.0749826431274414]
[428, 1.071065902709961]
[429, 0.7819568514823914]
[430, 0.7834367156028748]
[431, 1.1784844398498535]
[432, 1.2896244525909424]
[433, 1.1178747415542603]
[434, 1.140206217765808]
[435, 0.8865548968315125]
[436, 0.8624908328056335]
[437, 1.1453317403793335]
[438, 1.1070001125335693]
[439, 1.0320199728012085]
[440, 1.0058711767196655]
[441, 1.0018850564956665]
[442, 1.3212186098098755]
[443, 0.9180764555931091]
[444, 1.1072399616241455]
[445, 1.2865689992904663]
[446, 0.9496691823005676]
[447, 1.323712706565857]
[448, 0.9112148284912109]
[449, 1.0698741674423218]
[450, 1.2706005573272705]
[451, 1.1312607526779175]
[452, 1.2339004278182983]
[453, 1.2061700820922852]
[454, 1.0414440631866455]
[455, 1.18052077293396]
[456, 1.3809003829956055]
[457, 1.2378358840942383]
[458, 1.1357427835464478]
[459, 1.2457913160324097]
[460, 1.0251225233078003]
[461, 0.9592714309692383]
[462, 1.21104896068573]
[463, 0.9033493399620056]
[464, 1.2190065383911133]
[465, 1.1707314252853394]
[466, 1.177224040031433]
[467, 0.7218949198722839]
[468, 0.9504279494285583]
[469, 0.7339627146720886]
[470, 0.9887496829032898]
[471, 0.903603196144104]
[472, 1.402662754058838]
[473, 0.9326323866844177]
[474, 0.9639726877212524]
[475, 1.3308908939361572]
[476, 0.7644676566123962]
[477, 0.9533550143241882]
[478, 1.2503083944320679]
[479, 1.0919427871704102]
[480, 1.1917376518249512]
[481, 0.877980649471283]
[482, 0.9311010241508484]
[483, 1.1783984899520874]
[484, 1.3985165357589722]
[485, 1.2184271812438965]
[486, 1.3845648765563965]
[487, 0.8525940775871277]
[488, 1.1030538082122803]
[489, 1.0877621173858643]
[490, 1.2443522214889526]
[491, 1.0219634771347046]
[492, 1.060080885887146]
[493, 1.020913004875183]
[494, 0.9345793724060059]
[495, 1.1159454584121704]
[496, 1.1226979494094849]
[497, 1.0469845533370972]
[498, 0.9500107765197754]
[499, 1.3964053392410278]
[500, 0.880693256855011]
[501, 1.2211941480636597]
[502, 1.2889894247055054]
[503, 1.043020248413086]
[504, 1.2094545364379883]
[505, 1.3631938695907593]
[506, 1.06877863407135]
[507, 0.8864901661872864]
[508, 0.7998319268226624]
[509, 0.8706348538398743]
[510, 1.0870245695114136]
[511, 0.9291726350784302]
[512, 1.076433777809143]
